week,Open,Low,High,Close,Volume
2020-03-31/2020-04-06,169.74,150.83,170.93,160.055,106418780
2020-04-07/2020-04-13,170.79,166.01,177.45,170.9399,90083536
2020-04-14/2020-04-20,178.49,172.51,181.65,178.56,90254740
2020-04-21/2020-04-27,172.23,168.3408,194.79,188.05,130239270
2020-04-28/2020-05-04,187.675,182.56,217.26,204.2,155673460
2020-05-05/2020-05-11,209.25,206.0,215.0,214.43,77396058
2020-05-12/2020-05-18,213.42,200.69,215.275,213.87,85170510
2020-05-19/2020-05-25,219.412,212.22,237.2,234.85,158185426
2020-05-26/2020-06-01,238.72,221.1347,240.9,228.515,131390134
2020-06-02/2020-06-08,232.61,224.61,234.13,228.8315,79427670
2020-06-09/2020-06-15,237.75,222.53,241.75,229.58,104773243
2020-06-16/2020-06-22,236.42,231.7268,240.83,239.05,90970804
2020-06-23/2020-06-29,243.81,206.23,245.1853,220.3,189099878
2020-06-30/2020-07-06,220.3999,218.47,241.0,238.42,128108733
2020-07-07/2020-07-13,244.93,236.59,250.15,241.3,122374511
2020-07-14/2020-07-20,240.9,232.03,246.05,243.1902,94020908
2020-07-21/2020-07-27,247.19,226.9,247.75,233.37,82879725
2020-07-28/2020-08-03,232.4,229.0,255.88,254.5,119535924
2020-08-04/2020-08-10,251.42,247.43,278.89,262.385,173238954
2020-08-11/2020-08-17,256.83,255.13,265.915,260.1298,90784998
2020-08-18/2020-08-24,261.6,259.26,277.2478,271.68,95842112
2020-08-25/2020-08-31,278.53,270.2601,307.77,294.1314,167207361
2020-09-01/2020-09-07,297.4,271.14,303.9,281.5962,98978386
2020-09-08/2020-09-14,275.0,262.64,281.4,271.01,109717114
2020-09-15/2020-09-21,272.63,244.13,274.52,248.58,123816172
2020-09-22/2020-09-28,254.39,245.4,259.98,255.88,98550687
2020-09-29/2020-10-05,258.253,256.5,268.33,261.35,81921670
